claim_id,policy_start_date,claim_date,city,policy_type,sales_channel,vehicle_type,customer_age,annual_premium,claim_amount,past_claims_count,days_since_policy_start,documents_submitted,is_fraud,policy_tenure_days,claim_ratio,risk_score
CL211801,2023-01-12,2024-06-24,Delhi,Travel,Partner,Unknown,36.0,17228.0,53497.0,0.0,239.0,0.0,1,529.0,3.1052356628743905,239.0
CL196074,2024-10-01,2025-09-20,Ahmedabad,Travel,Agent,Unknown,47.0,8940.0,41607.0,3.0,0.0,2.0,0,354.0,4.654026845637584,5.0
CL280133,2023-08-22,2025-08-12,Ahmedabad,Travel,App,Unknown,18.0,10861.0,58176.0,0.0,158.0,2.0,1,721.0,5.356412853328423,160.0
CL019432,2024-09-17,2024-10-01,Kolkata,Home,Agent,Unknown,36.0,3091.0,43317.0,0.0,111.0,4.0,1,14.0,14.013911355548366,115.0
CL232246,2024-02-19,2024-10-01,Chennai,Home,Agent,Unknown,38.0,6660.0,79835.0,1.0,168.0,4.0,1,225.0,11.987237237237236,173.0
CL091297,2023-11-29,2024-10-01,Chennai,Motor,Website,Car,58.0,6884.0,97904.0,3.0,119.0,1.0,0,307.0,14.22196397443347,123.0
CL209406,2024-06-30,2024-10-01,Delhi,Travel,Partner,Unknown,51.0,5101.0,36535.0,4.0,109.0,5.0,1,93.0,7.162321113507155,118.0
CL130926,2024-06-27,2025-09-07,Ahmedabad,Travel,Agent,Unknown,40.0,5588.0,65321.0,1.0,72.0,1.0,0,437.0,11.68951324266285,74.0
CL214609,2023-11-11,2025-04-05,Ahmedabad,Travel,App,Unknown,27.0,6979.0,52704.0,1.0,0.0,6.0,0,511.0,7.5517982518985525,7.0
CL218478,2024-10-01,2025-06-30,Chennai,Health,Agent,Unknown,24.0,7883.0,86898.0,1.0,122.0,1.0,1,272.0,11.023468222757833,124.0
CL107635,2024-02-26,2024-10-01,Jaipur,Travel,App,Unknown,49.0,12347.0,69364.0,0.0,140.0,4.0,0,218.0,5.617882886531141,144.0
CL154756,2023-12-16,2025-01-11,Kolkata,Travel,Partner,Unknown,41.0,14941.0,12393.0,1.0,193.0,4.0,1,392.0,0.8294625527073154,198.0
CL188660,2024-02-12,2024-10-01,Kolkata,Home,Partner,Unknown,29.0,5110.0,47441.0,0.0,141.0,5.0,1,232.0,9.283953033268102,146.0
CL002066,2024-08-03,2025-01-04,Chennai,Motor,App,Unknown,42.0,4895.0,65374.0,2.0,169.0,5.0,1,154.0,13.355260469867211,176.0
CL219005,2024-01-22,2024-10-01,Hyderabad,Travel,Agent,Unknown,38.0,5586.0,46458.0,0.0,128.0,1.0,1,253.0,8.31686358754028,129.0
CL065903,2024-10-12,2025-09-22,Jaipur,Motor,Website,Unknown,59.0,12362.0,35673.0,1.0,0.0,2.0,0,345.0,2.8856981071024106,3.0
CL161201,2023-12-01,2024-10-01,Jaipur,Health,App,Unknown,52.0,7463.0,47727.0,0.0,97.0,2.0,0,305.0,6.395149403725044,99.0
CL042037,2024-10-01,2025-11-14,Delhi,Travel,Website,Unknown,50.0,10346.0,5147.0,2.0,0.0,2.0,0,409.0,0.4974869514788324,4.0
CL155049,2024-03-24,2024-11-08,Mumbai,Travel,Website,Unknown,55.0,10399.0,73211.0,3.0,225.0,5.0,1,229.0,7.040196172708915,233.0
CL151401,2024-06-11,2025-06-26,Bengaluru,Home,Agent,Unknown,42.0,8940.0,0.0,1.0,0.0,1.0,0,380.0,0.0,2.0
CL094240,2024-10-01,2025-03-06,Kolkata,Health,Partner,Unknown,48.0,8101.0,36740.0,1.0,113.0,5.0,1,156.0,4.535242562646586,119.0
CL263173,2023-11-11,2025-07-01,Pune,Motor,App,Car,47.0,8585.0,59247.0,1.0,313.0,1.0,1,598.0,6.901223063482819,315.0
CL284805,2023-08-19,2024-10-01,Kolkata,Health,App,Unknown,43.0,8940.0,35965.0,3.0,55.0,5.0,1,409.0,4.022930648769575,63.0
CL099418,2023-07-12,2023-07-22,Hyderabad,Travel,App,Unknown,49.0,14553.0,50778.0,0.0,74.0,1.0,0,10.0,3.4891774891774894,75.0
CL014270,2024-05-29,2025-12-02,Kolkata,Travel,Partner,Unknown,32.0,11976.0,39415.0,0.0,2.0,7.0,0,552.0,3.2911656646626586,9.0
CL000390,2024-08-18,2024-10-01,Chennai,Home,Website,Unknown,28.0,12952.0,84824.0,2.0,145.0,1.0,1,44.0,6.5491043854231,148.0
CL142073,2025-01-03,2025-11-14,Ahmedabad,Health,Website,Unknown,46.0,3345.0,95175.0,1.0,95.0,4.0,1,315.0,28.45291479820628,100.0
CL168244,2024-11-03,2025-09-02,Pune,Home,App,Unknown,56.0,8940.0,99332.0,1.0,101.0,1.0,1,303.0,11.110961968680089,103.0
CL068001,2024-07-08,2025-10-31,Mumbai,Travel,App,Unknown,41.0,7818.0,20823.0,2.0,70.0,4.0,1,480.0,2.6634689178818114,76.0
CL150388,2023-11-29,2024-10-01,Delhi,Home,Agent,Unknown,56.0,5357.0,87942.0,0.0,85.0,2.0,1,307.0,16.41627776740713,87.0
CL036616,2023-10-10,2024-02-12,Ahmedabad,Travel,Partner,Unknown,48.0,13878.0,82779.0,2.0,280.0,2.0,1,125.0,5.964764375270212,284.0
CL186155,2024-10-01,2025-02-06,Delhi,Travel,Partner,Unknown,39.0,2681.0,100393.0,1.0,308.0,3.0,1,128.0,37.44610220067139,312.0
CL060048,2023-10-29,2024-10-01,Jaipur,Motor,Agent,Unknown,26.0,8940.0,62763.0,1.0,127.0,4.0,1,338.0,7.020469798657718,132.0
CL183210,2024-01-10,2024-10-01,Jaipur,Motor,App,Unknown,52.0,13752.0,14818.0,1.0,5.0,3.0,0,265.0,1.0775159976730657,9.0
CL160832,2024-09-17,2024-10-01,Delhi,Health,Website,Unknown,46.0,11956.0,50511.0,1.0,45.0,2.0,0,14.0,4.224740715958514,48.0
CL154972,2023-07-04,2024-10-01,Delhi,Health,Partner,Unknown,40.0,9046.0,88419.0,2.0,112.0,3.0,0,455.0,9.774375414547867,117.0
CL184414,2023-10-16,2024-10-01,Mumbai,Travel,App,Unknown,18.0,17685.0,81696.0,1.0,93.0,1.0,0,351.0,4.619508057675997,95.0
CL067972,2024-03-21,2025-08-04,Mumbai,Travel,App,Unknown,44.0,3455.0,92425.0,0.0,63.0,4.0,1,501.0,26.751085383502172,67.0
CL257929,2023-07-08,2024-01-20,Hyderabad,Health,App,Unknown,68.0,6365.0,61378.0,1.0,182.0,3.0,1,196.0,9.643047918303221,186.0
CL280810,2023-07-12,2024-10-01,Mumbai,Home,Partner,Unknown,46.0,8940.0,24905.0,0.0,79.0,5.0,0,447.0,2.7857941834451903,84.0
CL288000,2024-09-11,2024-10-01,Mumbai,Health,App,Unknown,26.0,7990.0,75369.0,1.0,43.0,3.0,1,20.0,9.432916145181476,47.0
CL016729,2024-10-01,2025-08-15,Bengaluru,Travel,App,Unknown,52.0,9505.0,9156.0,0.0,0.0,4.0,0,318.0,0.9632824829037349,4.0
CL291909,2023-02-07,2023-11-24,Bengaluru,Health,App,Unknown,40.0,3357.0,16255.0,1.0,131.0,7.0,1,290.0,4.842120941316652,139.0
